Elapsed time,ii
0,1.05E+00
0.001,9.20E-01
0.002,7.28E-01
0.003,5.07E-01
0.004,2.82E-01
0.005,7.97E-02
0.006,-8.47E-02
0.007,-2.06E-01
0.008,-2.83E-01
0.009,-3.18E-01
0.01,-3.16E-01
0.011,-2.89E-01
0.012,-2.47E-01
0.013,-2.00E-01
0.014,-1.54E-01
0.015,-1.15E-01
0.016,-8.53E-02
0.017,-6.49E-02
0.018,-5.24E-02
0.019,-4.41E-02
0.02,-3.81E-02
0.021,-3.37E-02
0.022,-3.01E-02
0.023,-2.67E-02
0.024,-2.31E-02
0.025,-1.90E-02
0.026,-1.42E-02
0.027,-8.82E-03
0.028,-2.93E-03
0.029,3.61E-03
0.03,1.09E-02
0.031,1.89E-02
0.032,2.78E-02
0.033,3.75E-02
0.034,4.81E-02
0.035,5.96E-02
0.036,7.20E-02
0.037,8.53E-02
0.038,9.94E-02
0.039,1.14E-01
0.04,1.30E-01
0.041,1.47E-01
0.042,1.65E-01
0.043,1.83E-01
0.044,2.02E-01
0.045,2.21E-01
0.046,2.40E-01
0.047,2.59E-01
0.048,2.77E-01
0.049,2.95E-01
0.05,3.13E-01
0.051,3.29E-01
0.052,3.45E-01
0.053,3.60E-01
0.054,3.73E-01
0.055,3.85E-01
0.056,3.95E-01
0.057,4.04E-01
0.058,4.11E-01
0.059,4.16E-01
0.06,4.20E-01
0.061,4.21E-01
0.062,4.20E-01
0.063,4.16E-01
0.064,4.10E-01
0.065,4.02E-01
0.066,3.93E-01
0.067,3.81E-01
0.068,3.68E-01
0.069,3.53E-01
0.07,3.38E-01
0.071,3.21E-01
0.072,3.04E-01
0.073,2.86E-01
0.074,2.67E-01
0.075,2.48E-01
0.076,2.29E-01
0.077,2.11E-01
0.078,1.92E-01
0.079,1.73E-01
0.08,1.55E-01
0.081,1.38E-01
0.082,1.21E-01
0.083,1.04E-01
0.084,8.89E-02
0.085,7.44E-02
0.086,6.08E-02
0.087,4.82E-02
0.088,3.67E-02
0.089,2.63E-02
0.09,1.69E-02
0.091,8.45E-03
0.092,8.62E-04
0.093,-5.90E-03
0.094,-1.19E-02
0.095,-1.71E-02
0.096,-2.17E-02
0.097,-2.57E-02
0.098,-2.91E-02
0.099,-3.20E-02
0.1,-3.44E-02
0.101,-3.63E-02
0.102,-3.78E-02
0.103,-3.90E-02
0.104,-3.98E-02
0.105,-4.04E-02
0.106,-4.07E-02
0.107,-4.08E-02
0.108,-4.07E-02
0.109,-4.04E-02
0.11,-4.00E-02
0.111,-3.95E-02
0.112,-3.89E-02
0.113,-3.83E-02
0.114,-3.76E-02
0.115,-3.68E-02
0.116,-3.60E-02
0.117,-3.52E-02
0.118,-3.43E-02
0.119,-3.34E-02
0.12,-3.25E-02
0.121,-3.15E-02
0.122,-3.06E-02
0.123,-2.96E-02
0.124,-2.86E-02
0.125,-2.77E-02
0.126,-2.67E-02
0.127,-2.57E-02
0.128,-2.48E-02
0.129,-2.38E-02
0.13,-2.28E-02
0.131,-2.18E-02
0.132,-2.09E-02
0.133,-1.99E-02
0.134,-1.89E-02
0.135,-1.79E-02
0.136,-1.68E-02
0.137,-1.58E-02
0.138,-1.47E-02
0.139,-1.36E-02
0.14,-1.25E-02
0.141,-1.13E-02
0.142,-9.91E-03
0.143,-8.29E-03
0.144,-6.36E-03
0.145,-4.04E-03
0.146,-1.25E-03
0.147,2.09E-03
