Elapsed time,ii
0,3.29E-02
0.001,1.03E-01
0.002,1.30E-01
0.003,5.16E-02
0.004,4.73E-02
0.005,4.18E-02
0.006,4.25E-02
0.007,7.12E-02
0.008,5.43E-02
0.009,1.08E-01
0.01,3.70E-02
0.011,6.84E-02
0.012,1.32E-01
0.013,8.39E-02
0.014,1.21E-01
0.015,8.46E-02
0.016,7.78E-02
0.017,1.09E-01
0.018,6.12E-02
0.019,8.40E-02
0.02,5.92E-02
0.021,1.03E-01
0.022,5.31E-02
0.023,4.79E-02
0.024,7.59E-02
0.025,6.53E-02
0.026,7.82E-02
0.027,1.46E-01
0.028,7.69E-02
0.029,1.14E-01
0.03,3.68E-02
0.031,1.21E-01
0.032,5.55E-02
0.033,2.24E-02
0.034,1.09E-01
0.035,7.14E-02
0.036,4.81E-02
0.037,1.22E-01
0.038,2.76E-02
0.039,1.18E-01
0.04,3.90E-02
0.041,4.72E-02
0.042,3.96E-02
0.043,4.51E-02
0.044,9.89E-02
0.045,9.62E-02
0.046,7.53E-02
0.047,5.40E-02
0.048,1.02E-01
0.049,2.39E-02
0.05,4.57E-02
0.051,8.40E-02
0.052,5.91E-02
0.053,3.83E-02
0.054,1.04E-01
0.055,4.75E-02
0.056,4.13E-02
0.057,7.90E-02
0.058,1.04E-01
0.059,8.23E-02
0.06,1.22E-01
0.061,9.49E-02
0.062,5.30E-02
0.063,7.14E-02
0.064,6.77E-02
0.065,1.07E-01
0.066,4.78E-02
0.067,1.25E-01
0.068,5.68E-02
0.069,8.30E-02
0.07,9.80E-02
0.071,9.06E-02
0.072,7.58E-02
0.073,8.09E-02
0.074,6.17E-02
0.075,4.29E-02
0.076,7.82E-02
0.077,6.89E-02
0.078,1.22E-01
0.079,7.17E-02
0.08,1.10E-01
0.081,9.36E-02
0.082,4.12E-02
0.083,6.22E-02
0.084,9.46E-02
0.085,4.84E-02
0.086,5.84E-02
0.087,5.66E-02
0.088,1.01E-01
0.089,6.02E-02
0.09,1.10E-01
0.091,9.45E-02
0.092,6.87E-02
0.093,5.48E-02
0.094,5.79E-02
0.095,2.73E-02
0.096,1.30E-01
0.097,3.74E-02
0.098,9.76E-02
0.099,5.05E-02
0.1,1.06E-01
0.101,8.39E-02
0.102,8.99E-02
0.103,6.17E-02
0.104,8.19E-03
0.105,5.15E-02
0.106,1.09E-01
0.107,5.10E-02
0.108,1.14E-01
0.109,1.03E-01
0.11,9.57E-02
0.111,3.11E-02
0.112,7.15E-02
0.113,1.01E-01
0.114,8.97E-02
0.115,7.33E-02
0.116,6.72E-02
0.117,9.07E-02
0.118,3.88E-02
0.119,1.18E-01
0.12,1.12E-01
0.121,4.27E-02
0.122,9.47E-02
0.123,4.15E-02
0.124,7.40E-02
0.125,7.85E-02
0.126,9.44E-02
0.127,3.63E-02
0.128,4.10E-02
0.129,1.12E-01
0.13,1.20E-01
0.131,9.79E-02
0.132,4.53E-02
0.133,1.83E-02
0.134,1.03E-01
0.135,1.36E-01
0.136,7.56E-02
0.137,7.98E-02
0.138,5.69E-02
0.139,8.06E-02
0.14,8.33E-02
0.141,1.11E-01
0.142,1.23E-01
0.143,5.35E-02
0.144,9.37E-02
0.145,-7.82E-02
0.146,9.27E-02
0.147,8.45E-01
0.148,1.07E+00
0.149,-5.55E-01
0.15,-3.87E-01
0.151,-1.84E-01
0.152,-2.40E-01
0.153,2.92E-03
0.154,8.80E-01
0.155,4.98E-01
0.156,-4.42E-01
0.157,-3.25E-01
0.158,1.07E+00
0.159,2.56E-01
0.16,-8.26E-01
0.161,6.19E-01
0.162,-5.93E-01
0.163,1.08E+00
0.164,7.46E-01
0.165,-6.00E-01
0.166,8.79E-02
0.167,-9.08E-02
0.168,-1.54E-01
0.169,2.07E-01
0.17,-3.81E-02
0.171,2.59E-01
0.172,-1.45E-01
0.173,-8.30E-01
0.174,9.85E-01
0.175,-1.05E-01
0.176,9.40E-01
0.177,-3.67E-01
0.178,-8.81E-01
0.179,-6.83E-01
0.18,1.24E-01
0.181,1.07E+00
0.182,-2.89E-01
0.183,-6.46E-01
0.184,-7.17E-01
0.185,-1.68E-01
0.186,2.91E-01
0.187,-3.06E-01
0.188,-6.66E-01
0.189,-8.15E-01
0.19,-5.50E-01
0.191,-6.43E-01
0.192,9.64E-01
0.193,2.86E-01
0.194,4.48E-01
0.195,-3.45E-01
0.196,7.42E-01
0.197,9.07E-02
0.198,-2.18E-01
0.199,2.74E-01
0.2,5.05E-01
0.201,3.85E-01
0.202,-7.13E-01
0.203,9.78E-01
0.204,6.27E-01
0.205,-4.99E-01
0.206,-2.03E-03
0.207,9.85E-01
0.208,6.72E-01
0.209,4.81E-01
0.21,-4.95E-01
0.211,4.48E-01
0.212,1.04E+00
0.213,5.83E-01
0.214,-4.42E-01
0.215,9.63E-01
0.216,5.16E-01
0.217,2.33E-01
0.218,-2.14E-01
0.219,-1.03E-01
0.22,6.79E-01
0.221,4.48E-01
0.222,-7.60E-01
0.223,5.24E-01
0.224,6.67E-01
0.225,-1.05E+00
0.226,1.07E-01
0.227,-4.65E-02
0.228,3.17E-01
0.229,1.92E-01
0.23,2.02E-01
0.231,-4.75E-01
0.232,-6.95E-01
0.233,-3.52E-02
0.234,-7.89E-01
0.235,7.40E-01
0.236,2.95E-01
0.237,5.13E-01
0.238,-7.00E-02
0.239,1.22E+00
0.24,-7.59E-01
0.241,-8.99E-01
0.242,7.53E-01
0.243,3.58E-01
0.244,-3.85E-01
0.245,1.08E+00
0.246,-1.71E-01
0.247,3.39E-01
0.248,3.83E-01
0.249,5.65E-01
0.25,-8.64E-01
0.251,2.21E-01
0.252,-9.36E-02
0.253,4.20E-01
0.254,2.08E-01
0.255,-6.72E-01
0.256,-6.30E-01
0.257,4.21E-01
0.258,7.27E-01
0.259,9.19E-01
0.26,-7.12E-01
0.261,4.93E-01
0.262,-6.93E-01
0.263,-5.14E-01
0.264,9.56E-01
0.265,-4.57E-01
0.266,-8.02E-01
0.267,-5.83E-01
0.268,2.22E-01
0.269,1.94E-01
0.27,5.22E-01
0.271,7.84E-02
0.272,3.58E-02
0.273,8.61E-01
0.274,8.19E-01
0.275,7.22E-01
0.276,-6.68E-02
0.277,-9.18E-01
0.278,-4.66E-01
0.279,8.82E-01
0.28,-1.82E-01
0.281,8.36E-01
0.282,8.31E-01
0.283,-3.05E-01
0.284,-2.93E-01
0.285,-5.54E-01
0.286,1.47E-01
0.287,8.07E-01
0.288,4.98E-01
0.289,-6.34E-01
0.29,1.08E-02
0.291,-2.15E-01
0.292,5.66E-01
0.293,8.30E-01
0.294,8.84E-01
0.295,-6.10E-01
0.296,-6.39E-01
0.297,-1.68E-01
0.298,-5.51E-01
0.299,-3.62E-01
0.3,-7.95E-02
0.301,5.50E-01
0.302,-5.62E-01
0.303,-8.55E-01
0.304,-6.76E-01
0.305,2.20E-01
0.306,-9.43E-01
0.307,7.68E-02
0.308,1.10E-01
0.309,-8.63E-01
0.31,-7.42E-01
0.311,6.71E-01
0.312,2.61E-01
0.313,-5.27E-01
0.314,-1.36E-01
0.315,-5.82E-01
0.316,-6.28E-01
0.317,7.19E-01
0.318,9.93E-01
0.319,8.14E-01
0.32,2.88E-01
0.321,-3.71E-01
0.322,-1.14E-01
0.323,3.07E-02
0.324,-4.30E-01
0.325,-2.59E-01
0.326,-6.51E-02
0.327,5.50E-01
0.328,-7.68E-02
0.329,-6.96E-01
0.33,-8.19E-01
0.331,-5.81E-01
0.332,-6.96E-01
0.333,-2.46E-01
0.334,3.81E-01
0.335,9.30E-02
0.336,6.34E-01
0.337,-1.45E-01
0.338,-4.03E-01
0.339,1.97E-01
0.34,-2.91E-01
0.341,1.33E-01
0.342,6.97E-01
0.343,-4.75E-01
0.344,2.49E-01
0.345,3.79E-01
0.346,9.81E-02
0.347,4.88E-01
0.348,1.87E-01
0.349,7.99E-01
0.35,4.01E-01
0.351,-7.31E-02
0.352,1.09E-01
0.353,-5.98E-01
0.354,2.03E-01
0.355,5.90E-01
0.356,-8.85E-02
0.357,1.76E-01
0.358,-1.37E-01
0.359,1.37E-01
0.36,1.53E-01
0.361,1.02E+00
0.362,1.05E+00
0.363,5.13E-01
0.364,-5.80E-01
0.365,-6.66E-01
0.366,8.58E-02
0.367,-8.02E-01
0.368,-4.24E-01
0.369,-9.34E-01
0.37,-8.93E-01
0.371,-9.90E-01
0.372,4.03E-01
0.373,4.63E-01
0.374,3.76E-01
0.375,-4.35E-01
0.376,-7.92E-01
0.377,9.59E-01
0.378,1.37E-01
0.379,-7.51E-02
0.38,1.12E+00
0.381,7.81E-02
0.382,-8.91E-01
0.383,-3.97E-01
0.384,2.57E-01
0.385,7.51E-01
0.386,-1.81E-02
0.387,-8.53E-01
0.388,5.07E-01
0.389,1.38E-02
0.39,-1.29E-01
0.391,-6.56E-01
0.392,-3.73E-01
0.393,2.26E-01
0.394,5.84E-01
0.395,3.08E-01
0.396,-2.67E-01
0.397,2.33E-01
0.398,-4.65E-01
0.399,-1.20E-02
0.4,-3.06E-05
0.401,-1.64E-01
0.402,3.99E-02
0.403,7.94E-02
0.404,1.01E-01
0.405,8.98E-02
0.406,9.65E-02
0.407,1.20E-01
0.408,1.13E-01
0.409,6.97E-02
0.41,3.46E-02
0.411,7.26E-02
0.412,4.07E-02
0.413,5.87E-02
0.414,7.76E-02
0.415,5.79E-02
0.416,1.07E-01
0.417,9.13E-02
0.418,9.07E-02
