x,y
182,59
117,192
116,99
66,176
169,53
140,126
136,79
13,204
119,150
62,70
153,169
96,194
57,198
72,122
26,63
71,207
20,64
28,152
48,132
86,179
28,179
196,63
49,166
149,165
101,45
120,76
30,97
156,146
122,187
63,191
172,199
164,102
69,135
77,187
34,78
210,177
62,198
99,144
14,197
49,53
63,136
128,120
41,103
150,132
148,26
164,138
12,198
195,166
134,43
16,179
169,121
123,106
94,203
12,18
132,211
20,69
30,160
14,72
199,61
114,174
197,31
51,96
187,147
79,71
197,50
12,117
19,38
93,136
166,121
91,124
210,146
29,49
174,11
32,79
68,40
129,124
28,29
19,198
67,110
103,75
62,165
78,118
172,211
107,118
14,159
147,176
24,179
140,58
142,121
159,30
192,154
81,175
142,154
169,98
148,192
57,21
112,120
61,189
203,114
120,80
